Team,Giornata 1,Giornata 2,Giornata 3,Giornata 4,Giornata 5,Giornata 6,Giornata 7,Giornata 8,Giornata 9,Giornata 10,Giornata 11,Giornata 12,Giornata 13,Giornata 14,Giornata 15,Giornata 16,Giornata 17,Giornata 18,Giornata 19,Giornata 20,Giornata 21,Giornata 22,Giornata 23,Giornata 24,Giornata 25,Giornata 26,Giornata 27,Giornata 28,Giornata 29,Giornata 30,Giornata 31,Giornata 32,Giornata 33,Giornata 34,Giornata 35,Giornata 36,Giornata 37,Giornata 38
Borussia Tortmund,LARRY UNDERWOOD|77.5,Esdrongo|66,Saverio Football Collection|74.5,Chiavo Verona|70,Fc CollezioneMaglieBarone|69,FutbolBailado|68,Beverly Inps|72.5,LARRY UNDERWOOD|70.5,Esdrongo|76.5,Saverio Football Collection|84.5,Chiavo Verona|68.5,Fc CollezioneMaglieBarone|63,FutbolBailado|75.5,Beverly Inps|80.5,LARRY UNDERWOOD|66,Esdrongo|67.5,Saverio Football Collection|69.5,Chiavo Verona|75.5,Fc CollezioneMaglieBarone|62,FutbolBailado|65,Beverly Inps|65.5,LARRY UNDERWOOD|78,Esdrongo|64.5,Saverio Football Collection|67.5,Chiavo Verona|80.5,Fc CollezioneMaglieBarone|63,FutbolBailado|72.5,Beverly Inps|70,LARRY UNDERWOOD|64,Esdrongo|69,Saverio Football Collection|70,Chiavo Verona|66.5,Fc CollezioneMaglieBarone|73,FutbolBailado|72.5,Beverly Inps|67,LARRY UNDERWOOD|73,Esdrongo|63,Saverio Football Collection|66
Beverly Inps,Esdrongo|75,Saverio Football Collection|64,Chiavo Verona|80,Fc CollezioneMaglieBarone|76.5,FutbolBailado|72,LARRY UNDERWOOD|65,Borussia Tortmund|69.5,Esdrongo|63.5,Saverio Football Collection|82,Chiavo Verona|68.5,Fc CollezioneMaglieBarone|69.5,FutbolBailado|71.5,LARRY UNDERWOOD|68,Borussia Tortmund|62.5,Esdrongo|77.5,Saverio Football Collection|67.5,Chiavo Verona|69.5,Fc CollezioneMaglieBarone|72,FutbolBailado|74,LARRY UNDERWOOD|85,Borussia Tortmund|77,Esdrongo|80.5,Saverio Football Collection|79.5,Chiavo Verona|85.5,Fc CollezioneMaglieBarone|71,FutbolBailado|65.5,LARRY UNDERWOOD|77.5,Borussia Tortmund|66,Esdrongo|72,Saverio Football Collection|68.5,Chiavo Verona|69.5,Fc CollezioneMaglieBarone|66,FutbolBailado|63,LARRY UNDERWOOD|74.5,Borussia Tortmund|70,Esdrongo|71.5,Saverio Football Collection|70.5,Chiavo Verona|70.5
Chiavo Verona,Fc CollezioneMaglieBarone|71,FutbolBailado|80,Beverly Inps|71.5,Borussia Tortmund|65.5,Esdrongo|67,Saverio Football Collection|74.5,LARRY UNDERWOOD|71.5,Fc CollezioneMaglieBarone|62,FutbolBailado|66.5,Beverly Inps|62.5,Borussia Tortmund|73,Esdrongo|72,Saverio Football Collection|74,LARRY UNDERWOOD|71,Fc CollezioneMaglieBarone|66.5,FutbolBailado|72.5,Beverly Inps|61.5,Borussia Tortmund|70.5,Esdrongo|62.5,Saverio Football Collection|78.5,LARRY UNDERWOOD|69,Fc CollezioneMaglieBarone|69.5,FutbolBailado|62.5,Beverly Inps|74,Borussia Tortmund|67.5,Esdrongo|63,Saverio Football Collection|68.5,LARRY UNDERWOOD|67,Fc CollezioneMaglieBarone|78.5,FutbolBailado|66.5,Beverly Inps|86.5,Borussia Tortmund|72.5,Esdrongo|58,Saverio Football Collection|64.5,LARRY UNDERWOOD|67,Fc CollezioneMaglieBarone|65,FutbolBailado|68.5,Beverly Inps|72
Esdrongo,Beverly Inps|69,Borussia Tortmund|80,LARRY UNDERWOOD|73.5,Saverio Football Collection|72,Chiavo Verona|68,Fc CollezioneMaglieBarone|76.5,FutbolBailado|57,Beverly Inps|71,Borussia Tortmund|74,LARRY UNDERWOOD|78,Saverio Football Collection|65.5,Chiavo Verona|76.5,Fc CollezioneMaglieBarone|68,FutbolBailado|69.5,Beverly Inps|71.5,Borussia Tortmund|69.5,LARRY UNDERWOOD|74.5,Saverio Football Collection|63.5,Chiavo Verona|73.5,Fc CollezioneMaglieBarone|78.5,FutbolBailado|76.5,Beverly Inps|63.5,Borussia Tortmund|73,LARRY UNDERWOOD|65,Saverio Football Collection|67.5,Chiavo Verona|72,Fc CollezioneMaglieBarone|70,FutbolBailado|65.5,Beverly Inps|68.5,Borussia Tortmund|70.5,LARRY UNDERWOOD|74,Saverio Football Collection|74,Chiavo Verona|65,Fc CollezioneMaglieBarone|70.5,FutbolBailado|70,Beverly Inps|61.5,Borussia Tortmund|72.5,LARRY UNDERWOOD|64.5
Fc CollezioneMaglieBarone,Chiavo Verona|87.5,LARRY UNDERWOOD|68,FutbolBailado|71.5,Beverly Inps|64,Borussia Tortmund|76.5,Esdrongo|60.5,Saverio Football Collection|82.5,Chiavo Verona|75.5,LARRY UNDERWOOD|69.5,FutbolBailado|63,Beverly Inps|69.5,Borussia Tortmund|67.5,Esdrongo|80,Saverio Football Collection|76,Chiavo Verona|73.5,LARRY UNDERWOOD|71.5,FutbolBailado|68,Beverly Inps|65,Borussia Tortmund|68,Esdrongo|79,Saverio Football Collection|65.5,Chiavo Verona|69,LARRY UNDERWOOD|59,FutbolBailado|77,Beverly Inps|68,Borussia Tortmund|85,Esdrongo|64,Saverio Football Collection|76.5,Chiavo Verona|69,LARRY UNDERWOOD|68,FutbolBailado|75,Beverly Inps|66,Borussia Tortmund|70,Esdrongo|67.5,Saverio Football Collection|70.5,Chiavo Verona|70,LARRY UNDERWOOD|66.5,FutbolBailado|63
FutbolBailado,Saverio Football Collection|69.5,Chiavo Verona|64,Fc CollezioneMaglieBarone|80.5,LARRY UNDERWOOD|81,Beverly Inps|64,Borussia Tortmund|70,Esdrongo|81,Saverio Football Collection|74,Chiavo Verona|75,Fc CollezioneMaglieBarone|71.5,LARRY UNDERWOOD|72,Beverly Inps|64,Borussia Tortmund|77.5,Esdrongo|76.5,Saverio Football Collection|72,Chiavo Verona|78,Fc CollezioneMaglieBarone|68,LARRY UNDERWOOD|63.5,Beverly Inps|74.5,Borussia Tortmund|76.5,Esdrongo|65,Saverio Football Collection|77.5,Chiavo Verona|80.5,Fc CollezioneMaglieBarone|74,LARRY UNDERWOOD|71,Beverly Inps|92.5,Borussia Tortmund|74,Esdrongo|62.5,Saverio Football Collection|72,Chiavo Verona|74.5,Fc CollezioneMaglieBarone|78,LARRY UNDERWOOD|73.5,Beverly Inps|67.5,Borussia Tortmund|77.5,Esdrongo|66.5,Saverio Football Collection|79.5,Chiavo Verona|65.5,Fc CollezioneMaglieBarone|71.5
LARRY UNDERWOOD,Borussia Tortmund|83.5,Fc CollezioneMaglieBarone|81.5,Esdrongo|65,FutbolBailado|71.5,Saverio Football Collection|58.5,Beverly Inps|70,Chiavo Verona|76,Borussia Tortmund|75.5,Fc CollezioneMaglieBarone|68,Esdrongo|70.5,FutbolBailado|64,Saverio Football Collection|72.5,Beverly Inps|71,Chiavo Verona|73,Borussia Tortmund|67,Fc CollezioneMaglieBarone|69,Esdrongo|66,FutbolBailado|67,Saverio Football Collection|65,Beverly Inps|73,Chiavo Verona|63,Borussia Tortmund|67,Fc CollezioneMaglieBarone|69,Esdrongo|64,FutbolBailado|72.5,Saverio Football Collection|66,Beverly Inps|63,Chiavo Verona|74,Borussia Tortmund|71.5,Fc CollezioneMaglieBarone|63.5,Esdrongo|78.5,FutbolBailado|65,Saverio Football Collection|60.5,Beverly Inps|64,Chiavo Verona|78.5,Borussia Tortmund|75.5,Fc CollezioneMaglieBarone|65.5,Esdrongo|66.5
Saverio Football Collection,FutbolBailado|65.5,Beverly Inps|68,Borussia Tortmund|73.5,Esdrongo|70,LARRY UNDERWOOD|69,Chiavo Verona|76,Fc CollezioneMaglieBarone|89.5,FutbolBailado|77.5,Beverly Inps|68,Borussia Tortmund|74,Esdrongo|69.5,LARRY UNDERWOOD|71.5,Chiavo Verona|66.5,Fc CollezioneMaglieBarone|73,FutbolBailado|75,Beverly Inps|68,Borussia Tortmund|79.5,Esdrongo|73.5,LARRY UNDERWOOD|70.5,Chiavo Verona|82.5,Fc CollezioneMaglieBarone|87,FutbolBailado|73,Beverly Inps|71,Borussia Tortmund|67,Esdrongo|63.5,LARRY UNDERWOOD|71.5,Chiavo Verona|61,Fc CollezioneMaglieBarone|69,FutbolBailado|72,Beverly Inps|73.5,Borussia Tortmund|75.5,Esdrongo|75.5,LARRY UNDERWOOD|58,Chiavo Verona|77,Fc CollezioneMaglieBarone|68.5,FutbolBailado|74,Beverly Inps|76,Borussia Tortmund|77
